"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2732508","Matthew P. Aylett and Aaron J. Quigley","","","","The Broken Dream of Pervasive Sentient Ambient Calm Invisible Ubiquitous Computing","425--435","","11","calm computing, pervasive computing, ubiquitous computing","10.1145/2702613.2732508","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '15","","978-1-4503-3146-3","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","3347757","Santi  Phithakkitnukoon and Teerayut  Horanont and Sourav  Bhattacharya and Yoshihide  Sekimoto","","","","PURBA 2019: The 8th Workshop on Pervasive Urban Applications","954--956","","3","pervasive computing, ubiquitous computing, urban computing, urban informatics","10.1145/3341162.3347757","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","2905331","Aasheesh  Tandon and Vishwa  Shah and Sachin  Gajjar","","","","Emerging Applications Perspective for Internet of Things","115:1--115:7","115","7","Application Domains, Internet of Things, Pervasive Computing, Ubiquitous Computing, Wireless Sensor Networks","10.1145/2905055.2905331","","","","","","","2016","","Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies","ICTCS '16","","978-1-4503-3962-9","Udaipur, India","ACM","New York, NY, USA"
"article","2944925","Rita  Tse and Giovanni  Pau","","","","Enabling Street-level Pollution and Exposure Measures: A Human-centric Approach","1--4","","4","ubiquitous computing, urban sensing","10.1145/2944921.2944925","","","","","","","2016","","Proceedings of the 6th ACM International Workshop on Pervasive Wireless Healthcare","MobiHealth '16","","978-1-4503-4342-8","Paderborn, Germany","ACM","New York, NY, USA"
"article","2757718","Simon  Olberding and J&#252;rgen  Steimle and Suranga  Nanayakkara and Pattie  Maes","","","","CloudDrops: Stamp-sized Pervasive Displays for Situated Awareness of Web-based Information","47--53","","7","Augmented reality, Awareness, Pervasive displays, Ubiquitous computing","10.1145/2757710.2757718","","","","","","","2015","","Proceedings of the 4th International Symposium on Pervasive Displays","PerDis '15","","978-1-4503-3608-6","Saarbruecken, Germany","ACM","New York, NY, USA"
"article","2968309","Chun-Tung  Li and Jiannong  Cao and Tim M. H. Li","","","","Eustress or Distress: An Empirical Study of Perceived Stress in Everyday College Life","1209--1217","","9","eustress, mHealth, stress, ubiquitous computing","10.1145/2968219.2968309","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3123084","Benjamin  Tag and George  Chernyshov and Kai  Kunze","","","","Facial Temperature Sensing on Smart Eyewear for Affective Computing","209--212","","4","affective computing, pleasure, productivity, sensing, ubiquitous computing","10.1145/3123024.3123084","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3267571","Takuya  Sasatani and Alanson P. Sample and Yoshihiro  Kawahara","","","","3DD Wireless Charging for Indoor Electronics Using Multimode Quasistatic Cavity Resonators","444--447","","4","Ubiquitous Computing, Wireless Power Transfer","10.1145/3267305.3267571","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","2984739","Santi  Phithakkitnukoon and Teerayut  Horanont and Sourav  Bhattacharya and Yoshihide  Sekimoto","","","","PURBA 2016: The 5th Workshop on Pervasive Urban Applications","1339--1342","","4","data mining, smart cities, ubiquitous computing, urban computing, urban informatics","10.1145/2968219.2984739","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3016745","Matteo  Ciman and Michele  Donini and Ombretta  Gaggi and Fabio  Aiolli","","","","Stairstep Recognition and Counting in a Serious Game for Increasing Users' Physical Activity","1015--1033","","19","Activity recognition, Energy consumption, Pervasive and mobile computing, Ubiquitous applications","10.1007/s00779-016-0968-y","Personal Ubiquitous Comput.","November  2016","20","6","","November","2016","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","3123145","Christian  Meurisch and Maria-Dorina  Ionescu and Benedikt  Schmidt and Max  M&#252;hlh&#228;user","","","","Reference Model of Next-generation Digital Personal Assistant: Integrating Proactive Behavior","149--152","","4","anticipatory mobile computing, personal assistance, pervasive environment, proactivity, ubiquitous devices","10.1145/3123024.3123145","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3356290","Telmo  Zarraonandia and Alvaro  Montero and Paloma  Diaz and Ignacio  Aedo","","","","Magic Flowerpot: An AR Game for Learning About Plants","813--819","","7","augmented reality, educational games, pervasive game, ubiquitous computing","10.1145/3341215.3356290","","","","","","","2019","","Extended Abstracts of the Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts","CHI PLAY '19 Extended Abstracts","","978-1-4503-6871-1","Barcelona, Spain","ACM","New York, NY, USA"
"article","3016736","Juan  Pablo and Piyum  Fernando and Priyashri  Sridhar and Anusha  Withana and Suranga  Nanayakkara and Jurgen  Steimle and Pattie  Maes","","","","PostBits: Using Contextual Locations for Embedding Cloud Information in the Home","1001--1014","","14","Pervasive displays, Smart home, Ubiquitous computing, User interfaces","10.1007/s00779-016-0967-z","Personal Ubiquitous Comput.","November  2016","20","6","","November","2016","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","3274120","Benjamin  Tag and Olivier  Augereau","","","","From the Laboratory into the Wild: Eyewear in Cognitive-Aware System Studies","974--979","","6","Eyewear, Sensing, Ubiquitous Computing, Unobtrusiveness","10.1145/3267305.3274120","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","2850522","Jennifer A. Rode and Andrea  Marshall and Houda  El Mimouni and Jennifer  Booker","","","","Computational Making (Abstract Only)","494--494","","1","computational making, computational thinking, ubiquitous computing","10.1145/2839509.2850522","","","","","","","2016","","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","SIGCSE '16","","978-1-4503-3685-7","Memphis, Tennessee, USA","ACM","New York, NY, USA"
"article","3274141","Santi  Phithakkitnukoon and Teerayut  Horanont and Sourav  Bhattacharya and Yoshihide  Sekimoto","","","","PURBA 2018: The 7th Workshop on Pervasive Urban Applications","1011--1014","","4","Smart cities, data mining, ubiquitous computing, urban computing, urban informatics","10.1145/3267305.3274141","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3124453","Santi  Phithakkitnukoon and Teerayut  Horanont and Sourav  Bhattacharya and Yoshihide  Sekimoto","","","","PURBA 2017: The 6th Workshop on Pervasive Urban Applications","376--379","","4","data mining, smart cities, ubiquitous computing, urban computing, urban informatics","10.1145/3123024.3124453","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","2816940","Santi  Phithakkitnukoon and Teerayut  Horanont and Sourav  Bhattacharya and Yoshihide  Sekimoto","","","","PURBA 2015: The 4th Workshop on Pervasive Urban Applications","1111--1115","","5","data mining, smart cities, ubiquitous computing, urban computing","10.1145/2800835.2816940","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2971358","Christine  Keller and Thomas  Schlegel","","","","Model Based and Service Oriented Interaction for Ubiquitous Environments","429--434","","6","interaction, ontologies, semantic web services, ubiquitous computing","10.1145/2968219.2971358","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3322748","Michaela  Murauer and Florian  Jungwirth and Bernhard  Anzengruber and Ali  Abbas and Abdelrahman  Ahmad and Behrooz  Azadi and Jullius  Cho and Helmut  Ennsbrunner and Alois  Ferscha and Detlef  Gerhard and Benedikt  Gollan and Michael  Haslgr&#252;bler and Johannes  Selymes and Georgios  Sopidis and Matthias  St&#252;tz and Paul  Wei&#223;enbach","","","","A Task-independent Design and Development Process for Cognitive Products in Industrial Applications","358--367","","10","cognitive systems, pervasive computing, wearable computing","10.1145/3316782.3322748","","","","","","","2019","","Proceedings of the 12th ACM International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '19","","978-1-4503-6232-0","Rhodes, Greece","ACM","New York, NY, USA"
"article","2968543","Tadashi  Okoshi and Jin  Nakazawa and Hideyuki  Tokuda","","","","Interruptibility Research: Opportunities for Future Flourishment","1524--1529","","6","attention, interruptibility, opportunities, research community, ubiquitous computing","10.1145/2968219.2968543","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2968549","Channary  Tauch and Eiman  Kanjo","","","","The Roles of Emojis in Mobile Phone Notifications","1560--1565","","6","affective computing, emojis, pervasive computing, phone notifications, sentimental analysis","10.1145/2968219.2968549","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2807514","Liam D. Turner and Stuart M. Allen and Roger M. Whitaker","","","","Interruptibility Prediction for Ubiquitous Systems: Conventions and New Directions from a Growing Field","801--812","","12","context-aware computing, interruptibility, meta-analysis, ubiquitous computing","10.1145/2750858.2807514","","","","","","","2015","","Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing","UbiComp '15","","978-1-4503-3574-4","Osaka, Japan","ACM","New York, NY, USA"
"article","3348384","Florian  Jungwirth and Benedikt  Gollan and Marcel  Breitenfellner and Pratheeban  Elancheliyan and Alois  Ferscha","","","","EyeControl: Wearable Assistance for Industrial Maintenance Tasks","628--632","","5","eye-tracking, industrial assistance, pervasive computing","10.1145/3341162.3348384","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","3191754","Kai  Lukoff and Cissy  Yu and Julie  Kientz and Alexis  Hiniker","","","","What Makes Smartphone Use Meaningful or Meaningless?","22:1--22:26","22","26","Meaning, eudaimonia, habits, persuasive design, positive computing, self-regulation, social media, uses &#x38; gratifications","10.1145/3191754","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","March 2018","2","1","","March","2018","2474-9567","","","","","","ACM","New York, NY, USA"
"article","2830226","Eiman  Kanjo and Luluah  Al-Husain and Alan  Chamberlain","","","","Emotions in Context: Examining Pervasive Affective Sensing Systems, Applications, and Analyses","1197--1212","","16","Affect sensing, Affective computing, Applications, Context, Emotion recognition, Mobile, Mobile sensing, Pervasive computing, Ubiquitous computing","10.1007/s00779-015-0842-3","Personal Ubiquitous Comput.","October   2015","19","7","","October","2015","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","3277826","Rio  Chakma","","","","Can Typing Patterns Manage Interactions on Mobile Devices?: A Reinforcement Learning Approach","1817--1820","","4","Pervasive computing, Reinforcement learning, Text entry","10.1145/3267305.3277826","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3347074","Eirini  Sykianaki and Asterios  Leonidis and Margherita  Antona and Constantine  Stephanidis","","","","CaLmi: Stress Management in Intelligent Homes","1202--1205","","4","ambient intelligence, stress monitoring, ubiquitous computing","10.1145/3341162.3347074","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","3350842","Florian  Jungwirth and Michaela  Murauer and Johannes  Selymes and Michael  Haslgr&#252;bler and Benedikt  Gollan and Alois  Ferscha","","","","mobEYEle: An Embedded Eye Tracking Platform for Industrial Assistance","1113--1119","","7","eye-tracking, industrial assistance, pervasive computing","10.1145/3341162.3350842","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","2968310","Catalin  Voss and Peter  Washington and Nick  Haber and Aaron  Kline and Jena  Daniels and Azar  Fazel and Titas  De and Beth  McCarthy and Carl  Feinstein and Terry  Winograd and Dennis  Wall","","","","Superpower Glass: Delivering Unobtrusive Real-time Social Cues in Wearable Systems","1218--1226","","9","augmented reality, autism, behavioral therapy, ubiquitous computing, wearable computing","10.1145/2968219.2968310","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3124445","Michael  Jones and Zann  Anderson","","","","Accelerometer Data and Video Collected While Hiking and Climbing at UbiMount 2016","1043--1046","","4","hiking, machine learning, rock climbing, ubiquitous computing","10.1145/3123024.3124445","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","2968535","Michael  Jones and Casey  Walker and Zann  Anderson and Lawrence  Thatcher","","","","Automatic Detection of Alpine Ski Turns in Sensor Data","856--860","","5","alpine skiing, machine learning, ubiquitous computing","10.1145/2968219.2968535","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2805850","Harshit  Agrawal and Sang-won  Leigh and Pattie  Maes","","","","L'Evolved: Autonomous and Ubiquitous Utilities As Smart Agents","487--491","","5","actuated environments, actuated furniture, ubiquitous computing","10.1145/2750858.2805850","","","","","","","2015","","Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing","UbiComp '15","","978-1-4503-3574-4","Osaka, Japan","ACM","New York, NY, USA"
"article","2968544","Christoph  Anderson and Clara  Heissler and Sandra  Ohly and Klaus  David","","","","Assessment of Social Roles for Interruption Management: A New Concept in the Field of Interruptibility","1530--1535","","6","context-aware computing, interruptibility, social roles, ubiquitous computing","10.1145/2968219.2968544","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2809508","Alois  Ferscha","","","","Collective Adaptive Systems","893--895","","3","collective adaptive systems, pervasive computing, self-organization, superorganism, wearable computing","10.1145/2800835.2809508","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2970932","Geert  de Haan","","","","A Hands-on Approach to Making in the Internet of Things and Creative Technology","1:1--1:4","1","4","Education, ambient intelligence, curriculum development, embedded design, pervasive computing, sensory applications, ubiquitous computing","10.1145/2970930.2970932","","","","","","","2016","","Proceedings of the European Conference on Cognitive Ergonomics","ECCE '16","","978-1-4503-4244-5","Nottingham, United Kingdom","ACM","New York, NY, USA"
"article","3124569","Kuan-Yin  Chen and Hao-Ping  Lee and Chih-Heng  Lin and Yung-Ju  Chang","","","","Who Matters: A Closer Look at Interpersonal Relationship in Mobile Interruptibility","910--915","","6","context-aware computing, interruptibility, social roles, ubiquitous computing","10.1145/3123024.3124569","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3343836","Hyoyoung  Lim and Xiaolei  Huang and Samuel  Miller and Joshua  Edelmann and Timothy  Euken and Stephen  Voida","","","","Smart Cook: Making Cooking Easier with Multimodal Learning","129--132","","4","deep learning, domestic computing, recipe recommendation system, ubiquitous computing design","10.1145/3341162.3343836","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","2801636","Masaki  Ogawa and Takuro  Yonezawa and Jin  Nakazawa and Hideyuki  Tokuda","","","","Exploring User Model of the City by Using Interactive Public Display Application","1595--1598","","4","field study, public display, public space, ubiquitous computing, urban computing","10.1145/2800835.2801636","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2814469","Geert  de Haan","","","","Educating Creative Technology for the Internet of Things - Research and Practice-oriented Approaches Compared","4:1--4:7","4","7","Education, ambient intelligence, curriculum development, embedded design, pervasive computing, sensory applications, teaching methods, ubiquitous computing","10.1145/2814464.2814469","","","","","","","2015","","Proceedings of the Mulitimedia, Interaction, Design and Innnovation","MIDI '15","","978-1-4503-3601-7","Warsaw, Poland","ACM","New York, NY, USA"
"article","2804400","Robert  Tscharn and Diana  L&#246;ffler and Dominik  Lipp and Jeremias  Kuge and J&#246;rn  Hurtienne","","","","Senior, Follower and Busy Grumbler: User Needs for Pervasive Participation","801--806","","6","civic engagement, contextual design, pervasive e-participation, ubiquitous computing, urban computing","10.1145/2800835.2804400","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2792899","John Paulin Hansen and Florian  Biermann and Emilie  M&#248;llenbach and Haakon  Lund and Javier San Agustin and Sebastian  Sztuk","","","","A GazeWatch Prototype","615--621","","7","Gaze tracking, human-computer interaction, input, mobility, pervasive technology, ubiquitous computing","10.1145/2786567.2792899","","","","","","","2015","","Proceedings of the 17th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct","MobileHCI '15","","978-1-4503-3653-6","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","2997021","Jasmine  Jones","","","","Designing Social Memory Artifacts in a Smart Home","473--477","","5","design, family, memory, pervasive computing, time","10.1145/2957276.2997021","","","","","","","2016","","Proceedings of the 19th International Conference on Supporting Group Work","GROUP '16","","978-1-4503-4276-6","Sanibel Island, Florida, USA","ACM","New York, NY, USA"
"article","3214342","Alfred  &#197;kesson and Mattias  Nordahl and G&#246;rel  Hedin and Boris  Magnusson","","","","Live Programming of Internet of Things in PalCom","121--126","","6","Internet of things, Live programming, Pervasive computing","10.1145/3191697.3214342","","","","","","","2018","","Conference Companion of the 2Nd International Conference on Art, Science, and Engineering of Programming","Programming&#39;18 Companion","","978-1-4503-5513-1","Nice, France","ACM","New York, NY, USA"
"article","3124556","Kota  Tsubouchi and Tadashi  Okoshi","","","","People's Interruptibility In-the-wild: Analysis of Breakpoint Detection Model in a Large-scale Study","922--927","","6","attention, interruptibility, opportunities, research community, ubiquitous computing","10.1145/3123024.3124556","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3201571","Michael  Haslgr&#252;bler and Alois  Ferscha and Josef  Heftberger","","","","Transferring Expert Knowledge Through Video Instructions","358--362","","5","Eye tracking, learning, wearable and pervasive computing","10.1145/3197768.3201571","","","","","","","2018","","Proceedings of the 11th PErvasive Technologies Related to Assistive Environments Conference","PETRA '18","","978-1-4503-6390-7","Corfu, Greece","ACM","New York, NY, USA"
"article","3078821","Nigel  Davies and Sarah  Clinch and Mateusz  Mikusz and Oliver  Bates and Helen  Turner and Adrian  Friday","","","","Better off: When Should Pervasive Displays Be Powered Down?","19:1--19:9","19","9","calm computing, pervasive displays, viewer attention","10.1145/3078810.3078821","","","","","","","2017","","Proceedings of the 6th ACM International Symposium on Pervasive Displays","PerDis '17","","978-1-4503-5045-7","Lugano, Switzerland","ACM","New York, NY, USA"
"article","3324942","Elisa  Rubegni and Vito  Gentile and Alessio  Malizia and Salvatore  Sorce and Niko  Kargas","","","","Child-display Interaction: Exploring Avatar-based Touchless Gestural Interfaces","23:1--23:7","23","7","avatar, children-computer interaction, gesture-based interfaces, pervasive displays, ubiquitous computing","10.1145/3321335.3324942","","","","","","","2019","","Proceedings of the 8th ACM International Symposium on Pervasive Displays","PerDis '19","","978-1-4503-6751-6","Palermo, Italy","ACM","New York, NY, USA"
"article","3358474","Lu&#227; Marcelo Muriana and Jos&#233; Valderlei d Silva and Andressa Cristina dos Santos and Maria Cec&#237;lia C. Baranauskas","","","","Affective State, Self-esteem and Technology: An Exploratory Study with Children in Hospital Context","10:1--10:11","10","11","affective states, craniofacial deformity, self-esteem, ubiquitous and pervasive system","10.1145/3357155.3358474","","","","","","","2019","","Proceedings of the 18th Brazilian Symposium on Human Factors in Computing Systems","IHC '19","","978-1-4503-6971-8","Vit&oacute;ria, Esp&iacute;rito Santo, Brazil","ACM","New York, NY, USA"
"article","3274146","Leonardo  Angelini and Maurizio  Caon and Jacky  Casas and Federica  Cena and Amon  Rapp and Omar Abou Khaled and Elena  Mugellini","","","","Ubiquitous Chatbots: Workshop on Wearable and Embodied Conversational Agents","1652--1655","","4","Conversational agent, chatbot, coaching, human-computer interaction, ubiquitous computing","10.1145/3267305.3274146","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","2804261","Jennifer A. Rode and Anne  Weibert and Andrea  Marshall and Konstantin  Aal and Thomas  von Rekowski and Houda  El Mimouni and Jennifer  Booker","","","","From Computational Thinking to Computational Making","239--250","","12","computational making, computational thinking, maker culture","10.1145/2750858.2804261","","","","","","","2015","","Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing","UbiComp '15","","978-1-4503-3574-4","Osaka, Japan","ACM","New York, NY, USA"
"article","2802693","Babak A. Farshchian and Yngve  Dahl","","","","The Role of ICT in Addressing the Challenges of Age-related Falls: A Research Agenda Based on a Systematic Mapping of the Literature","649--666","","18","Age-related falls, Independent living, Literature survey, Pervasive computing, Seniors, Systematic mapping study, Ubiquitous computing","10.1007/s00779-015-0852-1","Personal Ubiquitous Comput.","July      2015","19","3-4","","July","2015","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","2968436","Christian  Meurisch and Usman  Naeem and Muhammad Awais Azam and Frederik  Janssen and Benedikt  Schmidt and Max  M&#252;hlh&#228;user","","","","Smarticipation: Intelligent Personal Guidance of Human Behavior Utilizing Anticipatory Models","1227--1230","","4","anticipatory mobile computing, mobile sensing, personal assistance, pervasive environment","10.1145/2968219.2968436","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2695824","Andre O. Bueno and Junia C. Anacleto and Vinicius  Ferreira and Janaina  Abib and Carolina  Souza and Daniel  Consiglieri","","","","Selfie Cafe: Socialization in Public Spaces","163--168","","6","interactive applications, smart city, social computing, ubiquitous computing, urban computing","10.1145/2695664.2695824","","","","","","","2015","","Proceedings of the 30th Annual ACM Symposium on Applied Computing","SAC '15","","978-1-4503-3196-8","Salamanca, Spain","ACM","New York, NY, USA"
"article","2971590","Simon  Klakegg and Chu  Luo and Jorge  Goncalves and Simo  Hosio and Vassilis  Kostakos","","","","Instrumenting Smartphones with Portable NIRS","618--623","","6","mobile sensing, near infrared spectroscopy, smartphones, ubiquitous computing","10.1145/2968219.2971590","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2807927","Tzu-Chieh  Tsai and Chung-Yu  Chen and Gon-Jong  Su","","","","U-Art: Your Art and Ubiquitous Art","1295--1302","","8","motion capture, wearable computing","10.1145/2800835.2807927","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2971596","Niels  van Berkel and Sergei  Kopytin and Simo  Hosio and Jonna  Malmberg and Hanna  J&#228;rvenoja and Vassilis  Kostakos","","","","Measuring Group Dynamics in an Elementary School Setting Using Mobile Devices","652--656","","5","ESM, collaboration, context, education, mobile sensing, primary school, ubiquitous computing","10.1145/2968219.2971596","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3329240","Ana M. Bernardos and Marcos  Pires and Daniel  Oll&#233; and Jos&#233; R. Casar","","","","Digital Phenotyping As a Tool for Personalized Mental Healthcare","403--408","","6","Digital phenotyping, mobile health, personal devices, ubiquitous computing","10.1145/3329189.3329240","","","","","","","2019","","Proceedings of the 13th EAI International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth'19","","978-1-4503-6126-2","Trento, Italy","ACM","New York, NY, USA"
