"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3129274","Koichi  Kise and Olivier  Augereau and Yuzuko  Utsumi and Masakazu  Iwamura and Kai  Kunze and Shoya  Ishimaru and Andreas  Dengel","","","","Quantified Reading and Learning for Sharing Experiences","724--731","","8","EOG, TOEIC, confidence, e-learing, eye-tracking, human experience, read word identification, reading detection, unknown words, wordometer","10.1145/3123024.3129274","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3124461","Saeed  Abdullah and Mirco  Musolesi and Tanzeem  Choudhury and Elizabeth L. Murnane and Jakob E. Bardram","","","","2Nd International Workshop on Mental Health and Well-being: Sensing and Intervention","745--748","","4","behavioral intervention, mental health, mhealth, mobile sensing, predictive modeling","10.1145/3123024.3124461","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","2800857","Hayeon  Jeong and Daniel Pieter Saakes and Uichin  Lee","","","","I-Eng: An Interactive Toy for Second Language Learning","305--308","","4","language learning, tangible interfaces","10.1145/2800835.2800857","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2807957","Krzysztof  Pietroszek and Liudmila  Tahai and James R. Wallace and Edward  Lank","","","","3D Interaction with Networked Public Displays Using Mobile and Wearable Devices","787--788","","2","3D interaction, mobile devices, public displays, wearables","10.1145/2800835.2807957","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2800974","Jorge  Goncalves and Simo  Hosio and Denzil  Ferreira and Theodoros  Anagnostopoulos and Vassilis  Kostakos","","","","Bazaar: A Situated Crowdsourcing Market","1385--1390","","6","crowdsourcing, kiosks, market, situated technologies, tablets, tasks","10.1145/2800835.2800974","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3267531","Lin  Wang and Hristijan  Gjoreski and Mathias  Ciliberto and Sami  Mekki and Stefan  Valentin and Daniel  Roggen","","","","Benchmarking the SHL Recognition Challenge with Classical and Deep-Learning Pipelines","1626--1635","","10","Activity recognition, Dataset, Deep learning, Machine learning, Transportation mode recognition","10.1145/3267305.3267531","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3344857","Peter  Widhalm and Maximilian  Leodolter and Norbert  Br&#228;ndle","","","","Ensemble-based Domain Adaptation for Transport Mode Recognition with Mobile Sensors","857--861","","5","activity recognition, domain adaption, neural networks, signal processing, transport mode recognition","10.1145/3341162.3344857","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","2804331","Jayson  Turner and Shamsi  Iqbal and Susan  Dumais","","","","Understanding Gaze and Scrolling Strategies in Text Consumption Tasks","829--838","","10","document structure, eye-based interaction, gaze-enhanced scrolling, reading behavior, scrolling strategies","10.1145/2800835.2804331","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3274187","Mostafa  Mirshekari and Jonathon  Fagert and Amelie  Bonde and Pei  Zhang and Hae Young Noh","","","","Human Gait Monitoring Using Footstep-Induced Floor Vibrations Across Different Structures","1382--1391","","10","Footstep Detection, Gait Monitoring, Structural Vibration, Transfer Learning","10.1145/3267305.3274187","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3267644","Ryosuke  Onose and Yuko  Harasawa and Yu  Enokibori and Kenji  Mase","","","","Textile Sensor-based Visualization to Enhance Skills to Understand the Body-Pressure Distribution for Pressure Ulcer Prevention","194--197","","4","education support, nursing skill, textile pressure sensor, ulcer pressure prevention, visualization","10.1145/3267305.3267644","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
